Časovna Značka (CEST/CET);Poraba [kWh];Dinamične Cene [EUR/kWh]
2024-08-06T10:00:00+02:00;0,125;0,03851
2024-08-06T10:15:00+02:00;0;0,03851
2024-08-06T10:30:00+02:00;0;0,03851
2024-08-06T10:45:00+02:00;0;0,03851
2024-08-06T11:00:00+02:00;0;0,02775
2024-08-06T11:15:00+02:00;0;0,02775
2024-08-06T11:30:00+02:00;0;0,02775
2024-08-06T11:45:00+02:00;0;0,02775
2024-08-06T12:00:00+02:00;0;0,02014
2024-08-06T12:15:00+02:00;0;0,02014
2024-08-06T12:30:00+02:00;0;0,02014
2024-08-06T12:45:00+02:00;0;0,02014
